Time,Destination,Length,Source Port,Second
0.0,10.0.0.6,230,27361.0,1
0.771891309,10.0.0.11,306,0.0,1
0.771884156,10.0.0.11,306,0.0,1
0.770576515,10.0.0.5,244,19225.0,1
0.770571414,10.0.0.5,244,19225.0,1
0.767959496,10.0.0.6,296,20546.0,1
0.767949013,10.0.0.6,296,20546.0,1
0.76399204,10.0.0.4,262,11262.0,1
0.7639852,10.0.0.4,262,11262.0,1
0.754630348,10.0.0.8,261,13632.0,1
0.754623822,10.0.0.8,261,13632.0,1
0.746737903,10.0.0.10,232,20178.0,1
0.74672108,10.0.0.10,232,20178.0,1
0.72000384,10.0.0.5,256,19385.0,1
0.719987253,10.0.0.5,256,19385.0,1
0.695892887,10.0.0.10,283,0.0,1
0.695888449,10.0.0.10,283,0.0,1
0.687762844,10.0.0.6,260,0.0,1
0.687758585,10.0.0.6,260,0.0,1
0.687747256,10.0.0.2,260,0.0,1
0.687734586,10.0.0.2,260,0.0,1
0.631705845,10.0.0.4,234,19614.0,1
0.631697333,10.0.0.4,234,19614.0,1
0.592183795,10.0.0.8,231,0.0,1
0.592181306,10.0.0.8,231,0.0,1
0.592174208,10.0.0.6,231,0.0,1
0.779819489,10.0.0.9,256,0.0,1
0.592167559,10.0.0.6,231,0.0,1
0.795610779,10.0.0.4,258,21062.0,1
0.836046615,10.0.0.4,255,27129.0,1
0.999850931,10.0.0.5,275,13757.0,1
0.999665622,10.0.0.5,275,13757.0,1
0.983984251,10.0.0.1,261,23531.0,1
0.983982327,10.0.0.2,262,29204.0,1
0.983975893,10.0.0.1,261,23531.0,1
0.983969001,10.0.0.2,262,29204.0,1
0.97604946,10.0.0.4,240,19234.0,1
0.976044866,10.0.0.4,240,19234.0,1
0.975689537,10.0.0.12,260,16766.0,1
0.975675366,10.0.0.12,260,16766.0,1
0.975672654,10.0.0.7,265,24490.0,1
0.9756642,10.0.0.7,265,24490.0,1
0.96819836,10.0.0.9,289,10027.0,1
0.967979657,10.0.0.7,247,0.0,1
0.967973877,10.0.0.7,247,0.0,1
0.967962614,10.0.0.12,247,0.0,1
0.967950345,10.0.0.12,247,0.0,1
0.96790948,10.0.0.9,289,10027.0,1
0.935657644,10.0.0.7,229,28414.0,1
0.935643607,10.0.0.7,229,28414.0,1
0.899872053,10.0.0.2,240,19436.0,1
0.899860916,10.0.0.2,240,19436.0,1
0.899846176,10.0.0.11,235,28166.0,1
0.899837142,10.0.0.11,235,28166.0,1
0.836054616,10.0.0.4,255,27129.0,1
0.79562307,10.0.0.4,258,21062.0,1
0.583871647,10.0.0.3,246,27702.0,1
0.779823116,10.0.0.9,256,0.0,1
0.575917782,10.0.0.7,250,10460.0,1
0.363939364,10.0.0.8,265,26396.0,1
0.352014379,10.0.0.2,257,19497.0,1
0.352002417,10.0.0.2,257,19497.0,1
0.335454224,10.0.0.7,245,11548.0,1
0.335447676,10.0.0.7,245,11548.0,1
0.332073813,10.0.0.2,244,23238.0,1
0.331819274,10.0.0.2,244,23238.0,1
0.283804428,10.0.0.5,252,24275.0,1
0.283791753,10.0.0.5,252,24275.0,1
0.267976684,10.0.0.5,234,20031.0,1
0.267968895,10.0.0.5,234,20031.0,1
0.176046564,10.0.0.9,257,12494.0,1
0.363949222,10.0.0.8,239,29830.0,1
0.171987567,10.0.0.12,243,29223.0,1
0.164063745,10.0.0.3,245,20484.0,1
0.164050629,10.0.0.6,243,14021.0,1
0.164044835,10.0.0.6,243,14021.0,1
0.156697852,10.0.0.7,250,16111.0,1
0.156687518,10.0.0.7,250,16111.0,1
0.150654623,10.0.0.2,258,27224.0,1
0.150643199,10.0.0.2,258,27224.0,1
0.124076543,10.0.0.3,267,11693.0,1
0.0757544,10.0.0.3,253,17780.0,1
0.067950032,10.0.0.6,261,0.0,1
0.067939981,10.0.0.4,261,0.0,1
0.583865407,10.0.0.3,246,27702.0,1
0.164070249,10.0.0.3,245,20484.0,1
0.363955018,10.0.0.8,239,29830.0,1
0.203964325,10.0.0.12,266,10525.0,1
0.364296767,10.0.0.8,265,26396.0,1
0.566494733,10.0.0.1,272,0.0,1
0.56648964,10.0.0.1,272,0.0,1
0.560400112,10.0.0.5,249,23253.0,1
0.56039341,10.0.0.5,249,23253.0,1
0.551941017,10.0.0.11,272,18614.0,1
0.551926888,10.0.0.11,272,18614.0,1
0.548146914,10.0.0.12,248,20522.0,1
0.548131746,10.0.0.12,248,20522.0,1
0.54013918,10.0.0.10,247,10569.0,1
0.539955757,10.0.0.10,247,10569.0,1
0.511673863,10.0.0.7,251,26737.0,1
0.51166009,10.0.0.7,251,26737.0,1
0.487977638,10.0.0.3,244,10314.0,1
0.575909448,10.0.0.7,250,10460.0,1
0.376021313,10.0.0.1,243,26087.0,1
0.479910429,10.0.0.3,262,14164.0,1
0.479899683,10.0.0.3,262,14164.0,1
0.420036563,10.0.0.8,286,20091.0,1
0.420022574,10.0.0.8,286,20091.0,1
0.38393788,10.0.0.8,243,0.0,1
0.383935868,10.0.0.8,243,0.0,1
0.383925936,10.0.0.9,243,0.0,1
0.487940496,10.0.0.3,244,10314.0,1
0.375880555,10.0.0.1,243,26087.0,1
0.371799402,10.0.0.2,239,14402.0,1
0.371793186,10.0.0.2,239,14402.0,1
1.747957804,10.0.0.12,231,24768.0,2
1.780003846,10.0.0.4,284,23130.0,2
1.707799985,10.0.0.6,265,24505.0,2
1.747944588,10.0.0.12,231,24768.0,2
1.756048356,10.0.0.7,275,15535.0,2
1.779994301,10.0.0.4,284,23130.0,2
